time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-06-25T19:48:06.100Z,33.4465,-116.4313333,10.7,3.03,ml,119,20,0.131,0.21,ci,ci39266287,2020-09-05T17:35:21.040Z,"22km NNW of Borrego Springs, CA",earthquake,0.11,0.25,0.112,165,reviewed,ci,ci
2020-06-25T10:27:03.940Z,33.3626667,-116.2926667,12.59,2.84,ml,108,16,0.01417,0.16,ci,ci39496144,2020-09-05T17:35:19.040Z,"14km NNE of Borrego Springs, CA",earthquake,0.09,0.32,0.141,26,reviewed,ci,ci
2020-06-08T07:50:13.610Z,33.2886667,-116.7513333,11.9,2.5,ml,101,20,0.05291,0.18,ci,ci39469960,2020-08-18T17:59:05.040Z,"5km NNE of Lake Henshaw, CA",earthquake,0.12,0.37,0.169,26,reviewed,ci,ci
2020-06-07T17:22:21.950Z,33.2295,-116.7448333,9.43,2.59,ml,108,20,0.01334,0.19,ci,ci39469304,2020-08-18T17:59:03.040Z,"2km SE of Lake Henshaw, CA",earthquake,0.12,0.31,0.13,25,reviewed,ci,ci
2020-05-18T21:02:32.680Z,33.5835,-116.8153333,3.74,2.56,ml,97,20,0.04396,0.19,ci,ci39206303,2021-03-25T03:19:54.800Z,"14km WNW of Anza, CA",earthquake,0.12,0.33,0.164,166,reviewed,ci,ci
2020-05-13T01:31:08.080Z,33.499,-116.5211667,10.16,3.15,ml,118,26,0.05892,0.19,ci,ci38491706,2021-09-21T23:13:25.090Z,"15km ESE of Anza, CA",earthquake,0.1,0.2,0.134,160,reviewed,ci,ci
2020-05-11T16:40:54.560Z,33.4975,-116.5041667,12.49,3.1,ml,127,27,0.0639,0.18,ci,ci38489754,2020-07-29T22:14:33.040Z,"17km ESE of Anza, CA",earthquake,0.1,0.23,0.155,150,reviewed,ci,ci
2020-04-20T18:28:20.810Z,33.4841667,-116.7961667,5.96,2.53,ml,111,15,0.02835,0.21,ci,ci39398080,2020-07-09T14:31:36.040Z,"8km NE of Aguanga, CA",earthquake,0.11,0.39,0.136,124,reviewed,ci,ci
2020-04-18T04:41:02.950Z,33.7126667,-116.8391667,16.39,2.96,ml,137,14,0.07505,0.2,ci,ci39394672,2020-07-16T08:02:56.590Z,"6km SE of Valle Vista, CA",earthquake,0.11,0.28,0.126,182,reviewed,ci,ci
2020-04-17T11:19:25.010Z,33.4885,-116.5153333,9.5,2.53,ml,114,28,0.07005,0.18,ci,ci39393256,2020-07-09T14:31:19.040Z,"16km ESE of Anza, CA",earthquake,0.1,0.23,0.142,133,reviewed,ci,ci
2020-04-10T15:02:01.500Z,33.5,-116.5238333,10.49,2.54,ml,106,26,0.05766,0.18,ci,ci39380792,2020-06-30T14:02:51.040Z,"15km ESE of Anza, CA",earthquake,0.1,0.18,0.174,119,reviewed,ci,ci
2020-04-09T07:15:37.290Z,33.5076667,-116.5298333,11.12,2.89,ml,117,27,0.04971,0.18,ci,ci39378536,2020-06-30T14:02:48.040Z,"14km ESE of Anza, CA",earthquake,0.1,0.24,0.157,175,reviewed,ci,ci
2020-04-09T05:14:50.080Z,33.5068333,-116.5321667,11.03,3.05,ml,123,26,0.05054,0.2,ci,ci39378336,2020-06-30T14:02:48.040Z,"14km ESE of Anza, CA",earthquake,0.11,0.26,0.189,178,reviewed,ci,ci
2020-04-08T04:03:49.240Z,33.4988333,-116.5225,10.38,2.63,ml,119,26,0.05894,0.18,ci,ci39142559,2020-06-30T14:02:44.040Z,"15km ESE of Anza, CA",earthquake,0.1,0.19,0.148,117,reviewed,ci,ci
2020-04-08T02:53:37.320Z,33.499,-116.522,10.37,2.64,ml,113,26,0.05883,0.18,ci,ci39142391,2020-06-30T14:02:44.040Z,"15km ESE of Anza, CA",earthquake,0.1,0.19,0.148,107,reviewed,ci,ci
2020-04-08T01:00:14.260Z,33.4981667,-116.5228333,10.27,3.22,ml,127,26,0.05957,0.18,ci,ci39141967,2020-06-30T14:02:44.040Z,"15km ESE of Anza, CA",earthquake,0.1,0.18,0.148,165,reviewed,ci,ci
2020-04-08T00:35:56.820Z,33.5006667,-116.5236667,10.28,3.27,ml,122,26,0.05701,0.18,ci,ci39141695,2020-06-30T14:02:44.040Z,"15km ESE of Anza, CA",earthquake,0.1,0.18,0.165,169,reviewed,ci,ci
2020-04-08T00:30:49.230Z,33.4985,-116.5253333,9.98,3.54,ml,134,26,0.05903,0.19,ci,ci39141591,2020-06-30T14:02:44.040Z,"15km ESE of Anza, CA",earthquake,0.09,0.19,0.147,177,reviewed,ci,ci
2020-04-05T23:11:58.930Z,33.4976667,-116.5215,10.39,2.6,ml,115,26,0.0602,0.19,ci,ci39135751,2020-06-21T00:55:08.040Z,"16km ESE of Anza, CA",earthquake,0.1,0.2,0.157,122,reviewed,ci,ci
2020-04-05T22:37:18.820Z,33.4961667,-116.4961667,13.25,3.5,mw,141,28,0.06774,0.21,ci,ci39135575,2020-06-21T00:55:07.040Z,"18km ESE of Anza, CA",earthquake,0.1,0.22,,4,reviewed,ci,ci
2020-04-05T22:34:49.700Z,33.498,-116.496,12.65,2.64,ml,120,29,0.06615,0.19,ci,ci39135567,2020-06-21T00:55:07.040Z,"18km ESE of Anza, CA",earthquake,0.11,0.24,0.139,118,reviewed,ci,ci
2020-04-05T21:54:23.660Z,33.5015,-116.526,11.1,2.7,ml,116,27,0.05601,0.19,ci,ci39135327,2020-06-21T00:55:07.040Z,"15km ESE of Anza, CA",earthquake,0.1,0.3,0.163,112,reviewed,ci,ci
2020-04-05T21:07:44.910Z,33.5036667,-116.5278333,10.53,3.49,mw,143,26,0.05376,0.2,ci,ci39134871,2020-06-21T00:55:07.040Z,"15km ESE of Anza, CA",earthquake,0.1,0.19,,4,reviewed,ci,ci
2020-04-05T16:27:47.340Z,33.5071667,-116.519,13.14,2.62,ml,118,27,0.05119,0.18,ci,ci39134127,2020-06-21T00:55:05.040Z,"15km ESE of Anza, CA",earthquake,0.1,0.21,0.151,123,reviewed,ci,ci
2020-04-04T11:49:17.950Z,33.4978333,-116.5191667,9.96,2.81,ml,119,27,0.06032,0.18,ci,ci39129687,2020-06-21T00:54:58.040Z,"16km ESE of Anza, CA",earthquake,0.1,0.22,0.15,142,reviewed,ci,ci
2020-04-04T05:12:35.150Z,33.4921667,-116.5118333,9.85,3.46,mw,146,27,0.0671,0.2,ci,ci39128103,2020-06-21T00:54:57.040Z,"16km ESE of Anza, CA",earthquake,0.1,0.27,,4,reviewed,ci,ci
2020-04-04T04:07:22.120Z,33.4913333,-116.5188333,9.62,3.6,mw,147,26,0.06677,0.22,ci,ci39127679,2020-06-21T00:54:56.040Z,"16km ESE of Anza, CA",earthquake,0.11,0.3,,6,reviewed,ci,ci
2020-04-04T02:59:23.280Z,33.5011667,-116.519,10.37,3.11,ml,123,26,0.05707,0.19,ci,ci39126951,2020-06-21T00:54:56.040Z,"16km ESE of Anza, CA",earthquake,0.1,0.23,0.157,185,reviewed,ci,ci
